class	motif	id	enr	q	tp	fp
Transient Increasing	JUND	MA0491.3	2.92	8.68e-234	1787	1464
Transient Increasing	FOS	MA0476.2	3.18	2.5e-233	1618	1215
Transient Increasing	FOSL1::JUND	MA1142.2	2.6	7.36e-233	2051	1886
Transient Increasing	BATF	MA1634.2	2.77	8.21e-233	1889	1627
Transient Increasing	BNC2	MA1928.2	2.84	2.48e-231	1824	1533
Transient Increasing	JUN::JUNB	MA1132.2	3.01	1.31e-229	1699	1351
Transient Increasing	BATF3	MA0835.3	2.71	2.63e-229	1919	1692
Transient Increasing	FOS::JUN	MA0099.4	2.23	4.74e-224	2466	2649
Transient Increasing	FOSL1::JUNB	MA1137.2	2.48	1.72e-223	2114	2041
Transient Increasing	FOSL2::JUND	MA1144.2	2.35	1.45e-221	2259	2299
Transient Increasing	Atf3	MA1988.2	2.61	3.5e-220	1946	1782
Transient Increasing	FOSL2	MA0478.2	4.3	9.52e-211	1106	614
Transient Increasing	FOSL2::JUN	MA1130.2	2.08	9.53e-209	2591	2976
Transient Increasing	FOSB::JUNB	MA1135.2	2.27	1.88e-206	2243	2361
Transient Increasing	FOS::JUNB	MA1134.2	2.02	5.77e-204	2680	3176
Transient Increasing	FOSL1::JUN	MA1128.2	1.87	3.62e-199	2994	3822
Transient Increasing	JDP2	MA0655.1	2.31	5.28e-196	2101	2177
Transient Increasing	BACH2	MA1101.3	3.42	5.92e-180	1188	831
Transient Increasing	NFE2	MA0841.2	2.91	3.41e-160	1286	1057
Transient Increasing	MAFG::NFE2L1	MA0089.3	1.76	4.77e-118	2299	3115
Transient Increasing	MAFK	MA0496.4	1.8	9.61e-116	2165	2875
Transient Increasing	Nfe2l2	MA0150.3	1.57	1.18e-107	2840	4320
Transient Increasing	MAF::NFE2	MA0501.2	1.94	1.37e-105	1720	2124
Transient Increasing	Runx1	MA0002.3	1.63	1.26e-81	2096	3072
Transient Increasing	Bcl11B	MA1989.2	1.32	6.27e-74	3825	6948
Transient Increasing	TBR1	MA0802.2	1.37	2.18e-70	3270	5725
Transient Increasing	TBX3	MA1566.3	1.5	6.32e-70	2400	3835
Transient Increasing	TBX5	MA0807.1	1.59	7.49e-66	1910	2877
Transient Increasing	EOMES	MA0800.2	1.25	1.33e-64	4321	8278
Transient Increasing	TBX21	MA0690.3	1.26	7.14e-63	4120	7821
Transient Increasing	MEIS1	MA0498.3	1.4	7.59e-62	2718	4627
Transient Increasing	Tbx6	MA1567.3	1.48	2.05e-60	2222	3587
Transient Increasing	TBX4	MA0806.1	1.8	8.84e-59	1233	1642
Transient Increasing	FOSL1::JUND	MA1143.2	1.28	3.7e-58	3693	6889
Transient Increasing	MGA	MA0801.1	1.2	7.82e-54	4561	9051
Transient Increasing	TBX1	MA0805.1	1.26	1.34e-53	3747	7094
Transient Increasing	TBX2	MA0688.2	1.18	7.47e-52	4954	10071
Transient Increasing	MEIS3	MA0775.2	1.36	1.42e-47	2518	4412
Transient Increasing	RUNX3	MA0684.3	1.16	5.32e-47	4973	10209
Transient Increasing	Mafg	MA0659.4	1.67	6.94e-47	1239	1779
Transient Increasing	TBX15	MA0803.1	1.46	4.59e-46	1890	3096
Transient Increasing	TBX18	MA1565.2	1.99	8.49e-46	763	916
Transient Increasing	RUNX2	MA0511.2	1.5	2.59e-43	1631	2602
Transient Increasing	PBX2	MA1113.3	1.12	1.23e-42	5735	12277
Transient Increasing	Nr2e1	MA0676.1	1.08	1.44e-42	6386	14090
Transient Increasing	MGA::EVX1	MA1960.2	1.15	3.3e-42	5093	10608
Transient Increasing	FOXB1	MA0845.1	1.11	4.69e-42	5847	12590
Transient Increasing	POU4F1	MA0790.2	1.14	1.45e-41	5129	10713
Transient Increasing	PKNOX1	MA0782.3	1.19	1.7e-41	4306	8663
Transient Increasing	ZNF652	MA1657.2	1.09	2.16e-41	6218	13628
Transient Increasing	NOTO	MA0710.2	1.12	6.93e-41	5592	11930
Transient Increasing	POU3F1	MA0786.2	1.09	1.06e-40	6293	13853
Transient Increasing	MEIS2	MA1640.2	1.1	2.31e-39	5969	12972
Transient Increasing	MEIS1	MA1639.2	1.07	9.64e-38	6577	14730
Transient Increasing	POU4F3	MA0791.2	1.14	6.61e-37	5012	10512
