feature_id	Naive_WT_REP1	Naive_WT_REP2	D3_WT_REP1	D3_WT_REP2	D5_WT_REP1	D5_WT_REP2	D8_WT_TE_Exp2_REP1	D8_WT_TE_Exp2_REP2	D8_WT_TE_Exp2_REP3
Interval_6254	3	6	1	0	2	0	0	1	0
Interval_6269	130	214	47	31	18	20	11	3	7
Interval_6278	362	457	33	21	75	70	25	31	39
Interval_6323	2	1	53	32	14	11	7	6	7
Interval_6335	115	147	97	59	353	317	176	192	195
Interval_6349	3	6	51	21	9	4	0	4	2
Interval_6372	6	12	51	40	37	35	9	12	6
Interval_6383	22	41	12	6	10	8	5	4	3
Interval_6425	1237	1759	427	253	1151	1161	584	661	929
Interval_6444	355	382	265	183	1083	1149	652	709	970
Interval_6445	55	83	14	21	277	292	223	247	286
Interval_6463	4	2	4	1	5	1	4	2	3
Interval_6471	13	20	147	81	197	201	190	160	178
Interval_6473	4	9	67	30	47	56	30	30	34
Interval_6530	87	116	334	208	720	788	238	255	286
Interval_6556	492	717	178	109	484	488	286	300	344
Interval_6577	3	1	42	35	3	2	1	2	1
Interval_6600	137	222	69	34	107	139	79	77	112
Interval_6603	13	21	73	51	66	40	12	5	13
Interval_6608	8	15	57	51	12	10	3	1	2
Interval_6619	8	11	188	109	63	42	7	4	7
Interval_6671	4	2	5	3	7	4	9	9	5
Interval_6672	3	3	56	36	21	13	7	4	6
Interval_6703	32	45	5	2	29	30	92	76	98
Interval_6726	0	5	36	32	11	14	2	3	0
Interval_6730	82	107	7	1	2	5	0	2	2
Interval_6743	1	2	50	28	20	20	5	5	6
Interval_6785	96	133	12	3	1	3	0	2	0
Interval_6814	3	4	84	50	3	7	1	1	0
Interval_6821	2	2	73	34	69	57	7	12	7
Interval_6854	186	220	6	9	40	44	9	10	7
Interval_7038	5	8	50	29	9	23	7	6	8
Interval_7132	14	37	15	5	15	21	9	6	7
Interval_7136	53	87	35	14	200	218	240	281	252
Interval_7171	7	5	129	82	50	60	21	26	14
Interval_7271	221	270	200	157	112	110	14	10	10
Interval_7313	664	878	242	132	590	605	255	283	371
Interval_7319	20	33	8	3	9	15	5	5	10
Interval_7330	2277	2754	651	419	2004	2162	1349	1387	1847
Interval_7341	624	811	266	168	630	655	281	318	434
Interval_7356	25	28	0	1	7	2	5	1	2
Interval_7370	155	203	64	33	152	183	73	93	127
Interval_7435	71	99	29	20	54	62	24	28	51
Interval_7462	143	227	50	49	181	169	87	97	107
Interval_7547	27	53	26	11	50	53	25	18	33
Interval_7550	11	25	188	103	307	275	84	110	128
Interval_7574	18	18	15	4	281	310	280	294	463
Interval_7597	299	443	1402	857	648	556	190	230	301
Interval_7605	10	23	63	50	123	104	44	34	63
Interval_7618	31	48	13	14	51	41	18	14	15
Interval_7626	954	1290	350	187	778	866	501	526	596
Interval_7666	145	182	57	37	120	149	55	67	86
Interval_7680	7	7	100	44	71	81	39	34	29
Interval_7709	2	4	49	25	11	6	1	3	4
Interval_7712	9	12	63	35	131	109	32	30	43
Interval_7781	738	971	275	136	671	723	267	270	408
Interval_7818	0	3	25	15	3	2	1	1	0
Interval_7820	1	3	0	2	0	2	0	2	0
Interval_7829	1	8	118	46	162	149	86	107	125
Interval_7855	6	10	2	1	4	2	9	4	5
Interval_7862	180	262	68	36	73	67	10	11	9
Interval_7877	1	4	72	44	4	4	1	5	4
Interval_7918	10	17	32	24	14	7	2	5	1
Interval_7982	84	134	27	20	24	38	17	15	20
Interval_8035	133	165	66	30	84	102	69	68	93
Interval_8037	24	15	46	25	28	23	4	4	1
Interval_8052	532	741	203	131	505	538	202	246	357
Interval_8086	15	23	78	60	18	21	5	3	2
Interval_8089	44	50	31	18	62	63	110	92	142
Interval_8141	1158	1388	329	218	957	997	533	569	740
Interval_8162	423	608	28	17	62	69	30	26	36
Interval_8190	480	606	185	126	623	611	297	358	481
Interval_8193	17	16	88	57	127	129	17	20	29
Interval_8245	30	63	6	8	4	6	1	4	0
Interval_8320	4	6	196	117	186	185	30	27	30
Interval_8324	5	5	134	76	6	10	1	2	2
Interval_8344	419	478	18	10	53	50	4	10	18
Interval_8415	17	32	31	28	187	182	29	54	44
Interval_8422	15	15	67	51	59	56	21	18	20
Interval_8438	295	367	10	7	203	186	300	344	394
Interval_8487	3	0	17	7	0	2	0	0	1
Interval_8539	595	671	29	14	58	64	7	9	10
Interval_8566	16	21	7	4	18	17	18	9	7
Interval_8567	2	2	5	2	1	3	3	0	1
Interval_8576	2	4	105	94	18	7	1	1	1
Interval_8591	31	36	144	90	119	109	53	57	76
Interval_8593	1	4	60	24	5	5	1	2	3
Interval_8604	3	9	57	30	57	80	139	129	154
Interval_8605	3	8	267	158	67	93	76	82	90
Interval_8606	0	1	49	33	4	4	3	0	0
Interval_8612	3	1	10	9	8	9	4	4	5
Interval_8632	23	32	10	6	34	19	10	9	5
Interval_8668	21	56	10	6	11	26	10	20	25
Interval_8702	2	4	70	49	13	11	0	2	3
Interval_8726	260	372	105	60	174	229	104	130	130
Interval_8751	51	117	30	9	7	6	0	3	1
Interval_8765	140	193	21	14	23	20	7	4	3
Interval_8830	57	81	280	188	204	206	31	44	56
Interval_8835	14	15	265	184	73	39	4	11	8
Interval_8872	315	366	119	76	285	294	164	157	213
Interval_8944	133	154	178	109	109	89	18	11	10
Interval_8951	3	3	95	62	19	12	2	4	5
Interval_8962	5	0	69	38	24	11	8	7	9
Interval_8970	420	607	203	148	456	490	239	226	333
Interval_8976	2	1	8	6	1	2	1	0	0
Interval_8995	31	36	93	63	249	281	210	233	294
Interval_9055	306	494	112	66	218	226	132	136	151
Interval_9100	57	99	8	5	2	3	0	2	5
Interval_9171	14	26	6	4	2	7	11	14	16
Interval_9176	3	2	0	3	0	0	0	1	0
Interval_9179	11	12	8	2	41	50	83	98	111
Interval_9186	12	24	12	7	5	11	2	4	5
Interval_9212	3	6	84	49	78	61	7	11	8
Interval_9217	365	463	155	112	329	372	177	201	265
Interval_9222	793	973	385	223	1048	1129	484	538	1097
Interval_9223	60	95	97	73	52	60	12	11	20
Interval_9271	234	306	15	18	53	36	12	20	12
Interval_9283	4	4	25	15	10	9	4	5	4
Interval_9333	74	112	4	6	4	7	1	4	1
Interval_9335	119	125	1	3	3	3	0	2	1
Interval_9392	8	9	12	2	27	27	46	52	62
Interval_9404	21	18	8	9	11	13	13	14	14
Interval_9430	138	206	184	84	482	463	449	486	561
Interval_9437	23	30	284	165	388	379	63	87	108
Interval_9438	4	6	30	25	66	65	19	23	29
Interval_9449	491	602	161	99	433	479	235	263	387
Interval_9462	7	5	35	25	128	172	128	162	126
Interval_9549	9	7	2	4	3	2	2	1	1
Interval_9596	51	57	22	23	126	149	64	84	101
Interval_9609	56	93	39	23	38	59	33	34	38
Interval_9660	5	8	41	24	9	7	3	2	1
Interval_9703	4	13	62	50	25	20	4	5	9
Interval_9715	11	27	5	5	12	14	7	8	6
Interval_9748	80	117	22	17	24	32	1	6	5
Interval_9773	0	5	0	1	12	15	45	47	41
Interval_9776	4	9	5	1	60	101	68	58	82
Interval_9787	5	7	58	26	99	87	61	64	67
Interval_9810	166	221	200	104	354	374	268	253	341
Interval_9843	15	27	110	59	136	157	57	70	81
Interval_9856	762	790	16	8	142	124	5	10	21
Interval_9872	63	74	7	0	1	0	1	0	0
Interval_9913	5	16	38	19	9	14	1	1	3
Interval_9925	240	356	90	57	203	243	116	154	194
Interval_9930	98	158	23	13	81	75	26	34	53
Interval_9954	1312	1434	79	53	619	671	234	230	359
Interval_9959	116	161	5	9	62	43	9	11	13
Interval_10000	15	28	7	1	11	18	3	4	8
Interval_10016	301	452	115	64	334	324	171	181	244
Interval_10068	14	15	0	0	7	7	1	0	3
Interval_10083	6	14	6	3	0	2	0	1	0
Interval_10085	331	407	65	43	74	50	17	18	20
Interval_10130	183	200	64	47	148	172	53	78	102
Interval_10142	42	58	107	66	41	45	5	4	10
Interval_10148	329	431	183	85	300	363	141	142	190
Interval_10189	9	6	38	25	8	8	1	0	1
Interval_10197	180	211	6	2	12	9	0	2	2
Interval_10199	273	316	11	7	5	2	0	1	1
Interval_10215	48	49	155	110	175	152	26	28	35
Interval_10248	83	99	45	26	76	81	64	62	48
Interval_10276	4	6	71	36	57	48	25	14	11
Interval_10283	3	8	48	19	25	16	20	15	17
Interval_10315	333	368	115	68	195	190	62	101	93
Interval_10472	61	118	24	11	4	5	3	3	4
Interval_10511	3	9	71	42	11	20	8	6	7
Interval_10514	2	3	179	98	11	13	2	3	1
Interval_10555	63	99	30	25	45	51	27	28	30
Interval_10562	1	1	42	35	3	11	1	0	0
Interval_10625	34	51	4	1	2	2	1	2	2
Interval_10655	17	14	117	69	37	31	5	7	4
Interval_10657	10	22	11	4	11	7	5	1	1
Interval_10705	1	9	72	46	19	8	9	15	10
Interval_10748	92	156	8	5	63	64	93	84	98
Interval_10784	4	4	122	70	23	21	0	4	9
Interval_10794	79	116	9	7	8	13	2	5	2
Interval_10874	12	21	97	68	60	58	19	15	20
Interval_10882	17	21	147	70	142	135	34	26	56
Interval_10892	23	54	21	15	198	210	256	253	348
Interval_10930	22	22	17	10	27	20	16	6	9
Interval_10958	7	12	2	5	1	2	0	1	0
Interval_10960	9	10	57	56	40	38	9	9	13
Interval_10961	8	20	65	51	18	23	15	10	5
Interval_10963	39	47	44	20	12	12	1	3	3
Interval_10975	35	69	24	14	42	47	22	17	23
Interval_10981	18	20	51	41	31	40	6	10	5
Interval_10983	520	712	123	93	350	311	163	173	216
Interval_10996	37	62	89	69	21	19	7	8	5
Interval_11055	178	267	114	74	78	75	11	20	36
Interval_11163	58	97	10	7	2	4	13	11	7
Interval_11198	16	27	11	6	17	16	11	15	8
Interval_11215	110	167	7	6	17	8	10	5	14
Interval_11296	283	346	17	12	48	49	27	32	56
Interval_11321	5	7	148	108	62	49	11	9	14
Interval_11340	8	10	98	64	21	16	2	1	1
Interval_11341	382	509	173	107	386	408	186	186	251
Interval_11346	6	10	69	42	12	7	2	0	2
Interval_11420	4	1	28	16	18	15	3	1	3
Interval_11422	1	6	99	64	160	127	15	27	27
Interval_11431	8	15	93	59	152	159	120	122	92
Interval_11435	6	8	77	66	20	25	8	6	15
Interval_11446	109	170	60	35	103	121	37	39	67
Interval_11449	11	33	68	41	141	146	130	147	165
Interval_11468	3	6	80	61	138	160	50	36	40
Interval_11471	1	5	38	18	55	40	26	21	21
Interval_11491	55	81	121	70	390	388	233	239	264
Interval_11503	2	5	4	3	11	8	5	7	5
Interval_11541	19	36	2	3	1	2	0	3	0
Interval_11552	2	5	6	2	2	3	0	1	0
Interval_11580	7	5	6	4	1	3	0	0	0
Interval_11611	910	1083	368	223	901	935	554	583	897
Interval_11646	12	26	297	193	195	189	15	14	15
Interval_11704	3	6	167	93	22	25	10	14	15
Interval_11744	138	176	60	39	115	129	62	65	76
Interval_11801	116	157	43	28	101	117	62	79	87
Interval_11812	41	64	164	95	194	213	80	62	68
Interval_11832	547	753	252	147	472	553	271	322	438
Interval_11838	6	8	110	57	64	32	6	11	0
Interval_11867	402	546	204	127	470	425	254	282	281
Interval_11905	169	269	65	52	226	197	90	83	112
Interval_11918	22	27	11	5	22	24	10	6	14
Interval_11946	65	81	5	3	99	84	93	132	113
Interval_11992	34	38	56	26	240	220	138	141	157
Interval_12008	1037	1476	410	218	906	1038	457	534	778
Interval_12024	4	10	6	1	9	13	19	21	17
Interval_12081	15	21	21	4	16	16	6	11	12
Interval_12084	938	1095	313	203	950	982	487	543	769
Interval_12116	11	16	11	9	16	14	10	5	9
Interval_12178	226	339	119	77	83	64	10	13	12
Interval_12185	30	45	16	8	24	35	9	10	16
Interval_12186	1215	1625	281	184	659	804	472	422	617
Interval_12227	1025	1414	298	160	752	766	502	523	741
Interval_12268	37	42	115	78	186	195	69	78	92
Interval_12357	1	6	30	21	35	17	8	3	7
Interval_12359	2	5	68	41	45	51	6	10	14
Interval_12370	10	12	302	141	164	180	94	84	109
Interval_12387	4	10	28	15	48	55	18	13	11
